,Unnamed: 0,Unnamed: 0.1,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,reg_카테고리,대분류,판매가,품절여부,후기
356,356,358,패커스,과세,0,12300,모닌 패션후르츠시럽 1L 1개 (낱개 상품),1788,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
357,357,359,패커스,과세,0,11180,모닌 팝콘시럽 700ml 1개 (낱개 상품),1787,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
358,358,360,패커스,과세,0,11180,모닌 토피넛시럽 700ml 1개 (낱개 상품),1786,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
359,359,361,패커스,과세,0,16000,모닌 키위(퓨레) 1L 1개 (낱개 상품),1785,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005003 : 식자재 > 카페 식재료 > 퓨레
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007003 : NEW > 식자재 > 카페 식재료 > 퓨레",식자재 카페 퓨레 식재료,카페,18000,정상,0
360,360,362,패커스,과세,0,11180,모닌 큐컴버(오이)시럽 700ml 1개 (낱개 상품),1784,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
361,361,363,패커스,과세,0,12300,모닌 코코넛시럽 1L 1개 (낱개 상품),1783,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
362,362,364,패커스,과세,0,12300,모닌 카라멜시럽 1L 1개 (낱개 상품),1782,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
363,363,365,패커스,과세,0,20900,모닌 카라멜(소스) 1.89L 1개 (낱개 상품),1781,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005005 : 식자재 > 카페 식재료 > 소스류
026 : NEW
026010 : NEW > 식자재",식자재 카페 소스류 식재료,카페,22000,정상,0
364,364,366,패커스,과세,0,12300,모닌 초코렛쿠키시럽 1L 1개 (낱개 상품),1780,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
365,365,367,패커스,과세,0,12300,모닌 초코렛시럽 1L 1개 (낱개 상품),1779,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
366,366,368,패커스,과세,0,12300,모닌 체리시럽 1L 1개 (낱개 상품),1778,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
367,367,369,패커스,과세,0,11180,모닌 체리블라썸(벚꽃)시럽 700ml 1개 (낱개 상품),1777,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
368,368,370,패커스,과세,0,12300,모닌 자몽시럽 1L 1개 (낱개 상품),1776,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
369,369,371,패커스,과세,0,11180,모닌 워터멜론(수박)시럽 700ml 1개 (낱개 상품),1775,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
370,370,372,패커스,과세,0,12300,모닌 오렌지시럽 1L 1개 (낱개 상품),1774,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
371,371,373,패커스,과세,0,11180,모닌 엘더플라워시럽 700ml 1개 (낱개 상품),1773,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
372,372,374,패커스,과세,0,12300,모닌 애플향시럽 1L 1개 (낱개 상품),1772,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
377,377,379,패커스,과세,0,5510,은진 오레가노분 350g 1개 (낱개 상품),1767,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,6500,정상,0
378,378,380,패커스,과세,2,3680,은진 로즈마리 200g 1개 (낱개 상품),1766,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,4300,정상,0
379,379,381,패커스,과세,0,4170,은진 로즈마리가루 250g 1개 (낱개 상품),1765,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,4900,정상,0
380,380,382,패커스,과세,0,3420,은진 오레가노 150g 1개 (낱개 상품),1764,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,4000,정상,0
381,381,383,패커스,과세,0,3990,은진 타임 180g 1개 (낱개 상품),1763,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,4700,정상,0
382,382,384,패커스,과세,0,3330,은진 바질 150g 1개 (낱개 상품),1762,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,3900,정상,0
385,385,387,패커스,과세,0,16000,모닌 스트로베리(퓨레) 1L 1개 (낱개 상품),1755,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005003 : 식자재 > 카페 식재료 > 퓨레
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007003 : NEW > 식자재 > 카페 식재료 > 퓨레",식자재 카페 퓨레 식재료,카페,18000,정상,0
386,386,388,패커스,과세,0,11180,모닌 솔티드카라멜시럽 700ml 1개 (낱개 상품),1754,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
387,387,389,패커스,과세,0,12300,모닌 블루큐라소시럽 1L 1개 (낱개 상품),1753,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
388,388,390,패커스,과세,0,12300,모닌 블랙베리시럽 1L 1개 (낱개 상품),1752,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
389,389,391,패커스,과세,0,12300,모닌 복숭아시럽 1L 1개 (낱개 상품),1751,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
390,390,392,패커스,과세,0,12300,모닌 바닐라시럽 1L 1개 (낱개 상품),1750,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
391,391,393,패커스,과세,0,12300,모닌 모히또민트시럽 1L 1개 (낱개 상품),1749,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
392,392,394,패커스,과세,0,12300,모닌 메이플스파이스시럽 1L 1개 (낱개 상품),1748,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
393,393,395,패커스,과세,0,12300,모닌 망고시럽 1L 1개 (낱개 상품),1747,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
396,396,398,패커스,과세,0,5180,은진 타임분 350g 1개 (낱개 상품),1744,사용안함,은진물산,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005010 : 식자재 > 카페 식재료 > 향신료
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007010 : NEW > 식자재 > 카페 식재료 > 향신료",식자재 카페 향신료 식재료,카페,6100,정상,0
401,401,403,패커스,과세,0,12300,모닌 마카다미아시럽 1L 1개 (낱개 상품),1739,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
402,402,404,패커스,과세,0,12000,모닌 리치시럽 700ml 1개 (낱개 상품),1738,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,12900,정상,0
403,403,405,패커스,과세,0,11180,모닌 로즈시럽 700ml 1개 (낱개 상품),1737,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
404,404,406,패커스,과세,0,11180,모닌 레몬진저허니시럽 700ml 1개 (낱개 상품),1736,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,11900,정상,0
405,405,407,패커스,과세,0,12300,모닌 레몬시럽 1L 1개 (낱개 상품),1735,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
406,406,408,패커스,과세,0,8000,모닌 라임시럽 700ml 1개 (낱개 상품),1734,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,8700,정상,0
409,409,411,패커스,과세,0,20900,모닌 다크초코렛(소스) 1.89L 1개 (낱개 상품),1731,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005005 : 식자재 > 카페 식재료 > 소스류
026 : NEW
026010 : NEW > 식자재",식자재 카페 소스류 식재료,카페,22000,정상,0
414,414,416,패커스,과세,0,12300,모닌 그린애플향시럽 1L 1개 (낱개 상품),1726,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
415,415,417,패커스,과세,0,12300,모닌 그린민트시럽 1L 1개 (낱개 상품),1725,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,13000,정상,0
416,416,418,패커스,과세,0,7100,모닌 그라나딘시럽 700ml 1개 (낱개 상품),1724,사용안함,모닌,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류",식자재 시럽류 카페 식재료,카페,7600,정상,0
417,417,419,패커스,면세,0,11000,세미 요거레또믹스(파우더) 1kg 1개 (낱개 상품),1723,사용안함,아그라나푸르트코리아,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005006 : 식자재 > 카페 식재료 > 파우더
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007006 : NEW > 식자재 > 카페 식재료 > 파우더",파우더 식자재 카페 식재료,카페,11600,정상,0
418,418,420,패커스,면세,0,5830,세미 허니콘 페이스트 1.8kg 1개 (낱개 상품),1722,사용안함,아그라나푸르트코리아,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005007 : 식자재 > 카페 식재료 > 페이스트
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007007 : NEW > 식자재 > 카페 식재료 > 페이스트",식자재 카페 페이스트 식재료,카페,6500,정상,0
419,419,421,패커스,면세,0,6760,세미 자색고구마라떼 페이스트 1kg 1개 (낱개 상품),1721,사용안함,아그라나푸르트코리아,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005007 : 식자재 > 카페 식재료 > 페이스트
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007007 : NEW > 식자재 > 카페 식재료 > 페이스트",식자재 카페 페이스트 식재료,카페,7500,정상,0
420,420,422,패커스,면세,0,6760,세미 펌킨 페이스트 1kg 1개 (낱개 상품),1720,사용안함,아그라나푸르트코리아,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005007 : 식자재 > 카페 식재료 > 페이스트
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007007 : NEW > 식자재 > 카페 식재료 > 페이스트",식자재 카페 페이스트 식재료,카페,7500,정상,0
421,421,423,패커스,면세,0,6180,세미 고구마라떼 페이스트 1kg 1개 (낱개 상품),1719,사용안함,아그라나푸르트코리아,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005007 : 식자재 > 카페 식재료 > 페이스트
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007007 : NEW > 식자재 > 카페 식재료 > 페이스트",식자재 카페 페이스트 식재료,카페,6600,정상,0
422,422,424,패커스,과세,0,13900,포모나 코코렛(소스) 2kg 1개 (낱개 상품),1718,사용안함,카파아이엔티,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005005 : 식자재 > 카페 식재료 > 소스류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007005 : NEW > 식자재 > 카페 식재료 > 소스류
061024 : vol.4 Catalogue > 카달로그_4",식자재 카페 소스류 식재료,카페,14700,정상,0
423,423,425,패커스,과세,0,15000,포모나 카라멜소스 2kg 1개 (낱개 상품),1717,사용안함,카파아이엔티,"050 : 식자재
050005 : 식자재 > 카페 식재료
050005002 : 식자재 > 카페 식재료 > 시럽류
026 : NEW
026010 : NEW > 식자재
026010007 : NEW > 식자재 > 카페 식재료
026010007002 : NEW > 식자재 > 카페 식재료 > 시럽류
061024 : vol.4 Catalogue > 카달로그_4",식자재 시럽류 카페 식재료,카페,15900,정상,0
